gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
120,244,5,3.92286e+09,69571.2,49895,2,15,5
120,234,5,3.12882e+09,72195.7,52357.1,2,15,5
120,230,5,3.14353e+09,71463.1,51696,2,15,5
120,246,5,4.06012e+09,66235.1,49528.1,2,15,5
120,246,5,3.43660e+09,66487.2,49287,2,15,5
130,250,5,4.51982e+09,73106,52855.1,3,15,5
130,248,5,4.24615e+09,75950.9,51232.9,2,15,5
130,260,5,4.32172e+09,70738.8,53927.8,2,15,5
130,274,5,5.97247e+09,71483,52899.1,3,15,5
130,262,5,4.74446e+09,73132.9,57481.3,2,15,5
140,292,5,7.36057e+09,80295,54195,4,15,5
140,294,5,6.25027e+09,75641.1,57546.6,2,15,5
140,282,5,6.44402e+09,77612,57290.9,3,15,5
140,272,5,6.07525e+09,74882.8,57365.1,2,15,5
140,284,5,6.45664e+09,72571.4,54834.7,4,15,5
10,20,5,4.136e+06,5928.23,5205.9,1,20,5
10,22,5,6.335e+06,7332.09,6117.14,1,20,5
10,20,5,4.409e+06,5625.38,4857.2,1,20,5
10,26,5,1.0221e+07,6751.18,6193.57,1,20,5
10,20,5,5.273e+06,8128.46,6514.64,1,20,5
20,42,5,2.0335e+07,13523.3,10869.8,1,20,5
20,44,5,2.1541e+07,11953.4,9706.54,1,20,5
20,40,5,2.4854e+07,12509.2,11514.9,1,20,5
20,50,5,4.4406e+07,11792.3,9511.93,1,20,5
20,40,5,1.8993e+07,13564.7,11141,1,20,5
30,54,5,3.8552e+07,18338,16609,1,20,5
30,56,5,3.7044e+07,20312.1,14736.3,1,20,5
30,56,5,5.1402e+07,16564.6,14043.7,1,20,5
30,64,5,7.4643e+07,18780,15145.5,1,20,5
30,62,5,6.6767e+07,18481.6,15923.6,1,20,5
40,80,5,1.39406e+08,24961.3,18976.1,1,20,5
40,80,5,1.30672e+08,24878.7,19392,1,20,5
40,82,5,1.479e+08,23313.5,19090.8,1,20,5
40,70,5,1.78837e+08,23393.3,17945.8,1,20,5
40,82,5,1.16919e+08,21875.4,17220.9,3,20,5
50,110,5,5.25308e+08,31067.3,22776.9,1,20,5
50,98,5,2.58893e+08,29183.9,25416.4,1,20,5
50,92,5,2.88112e+08,27321.5,21529.5,2,20,5
50,110,5,4.49839e+08,31727.4,23167.2,1,20,5
50,96,5,3.10486e+08,30804.4,24571,1,20,5
60,136,5,9.35621e+08,39283.2,28383.8,2,20,5
60,124,5,7.50606e+08,34991.4,25636.9,1,20,5
60,128,5,5.07423e+08,37825.4,28219.6,1,20,5
60,114,5,6.42859e+08,33407.8,25748.9,1,20,5
60,124,5,6.33539e+08,35988,26510.6,2,20,5
70,140,5,9.1494e+08,38758.4,29017.5,2,20,5
70,138,5,1.09941e+09,36581,28294.6,2,20,5
70,150,5,1.12041e+09,39687.1,32568.7,1,20,5
70,154,5,1.03131e+09,40602.4,34680.8,2,20,5
70,164,5,1.54145e+09,43652.7,35670.9,3,20,5
80,158,5,1.24754e+09,44609,34940.9,2,20,5
80,162,5,1.42898e+09,44942.5,36692.3,2,20,5
80,164,5,1.91359e+09,46653.5,36072.2,1,20,5
80,170,5,1.86446e+09,44838.7,32473,1,20,5
80,160,5,1.41569e+09,45738.6,35316,1,20,5
90,198,5,2.57722e+09,52172.1,37174.2,1,20,5
90,188,5,2.35239e+09,50236.2,40326.6,1,20,5
90,182,5,2.22591e+09,55493,39846.4,3,20,5
90,200,5,3.25928e+09,52120.1,37719.8,2,20,5
90,200,5,2.14018e+09,51130.1,39419.2,1,20,5
100,180,5,1.97192e+09,53618.2,37791,2,20,5
100,202,5,3.37703e+09,57047.2,41173.2,2,20,5
100,190,5,2.53307e+09,62542.7,45758.8,3,20,5
100,200,5,2.94148e+09,54577.5,43681,2,20,5
100,212,5,3.19264e+09,59297.3,47396.3,2,20,5
110,234,5,4.85427e+09,62899.7,45055.7,3,20,5
110,220,5,3.82076e+09,54805.2,43076.8,2,20,5
110,222,5,2.96058e+09,68732.6,51114.9,3,20,5
110,234,5,5.07084e+09,65025.5,43493.5,2,20,5
110,224,5,3.58824e+09,64034,47508.5,1,20,5
120,244,5,5.29928e+09,69571.2,49768.2,2,20,5
120,234,5,4.28621e+09,72195.7,52129.1,2,20,5
120,230,5,4.51455e+09,71463.1,49656,2,20,5
120,246,5,5.04727e+09,66235.1,49813.7,2,20,5
120,246,5,4.57453e+09,66487.2,49815.3,2,20,5
130,250,5,5.31864e+09,73106,52323.2,1,20,5
130,248,5,6.29137e+09,75950.9,49613.9,2,20,5
130,260,5,6.20458e+09,70738.8,54562.1,2,20,5
130,274,5,7.56768e+09,71483,51400,3,20,5
