gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
140,288,5,9.0814e+09,85187.5,61025.5,3,20,15
10,22,5,6.562e+06,7212.48,5986.6,1,30,15
20,44,5,4.8424e+07,13469.3,10889.2,1,30,15
30,64,5,1.35557e+08,18376.3,17140.3,1,30,15
40,82,5,2.41796e+08,25886,20177.2,2,30,15
50,108,5,4.83035e+08,31705.8,25712.4,1,30,15
60,134,5,9.30784e+08,38857.2,30547,2,30,15
70,152,5,1.98799e+09,46679.4,34806.1,2,30,15
80,170,5,2.20517e+09,52340.9,38348,1,30,15
90,188,5,3.10446e+09,55494.6,40541.3,2,30,15
100,206,5,4.38132e+09,61450.3,43320.6,2,30,15
110,226,5,6.01016e+09,66546.3,48687.8,5,30,15
120,246,5,8.59631e+09,69141.7,52365.9,2,30,15
130,268,5,1.08346e+10,80203.5,55585.9,3,30,15
140,288,5,1.3463e+10,85187.5,61603.7,3,30,15
10,22,5,7.889e+06,7212.48,6121.56,1,40,15
20,44,5,5.2111e+07,13469.3,11244.1,1,40,15
30,64,5,2.18176e+08,18376.3,15889.4,1,40,15
40,82,5,3.74817e+08,25886,21477.4,1,40,15
50,108,5,8.39064e+08,31705.8,25056.6,1,40,15
60,134,5,1.17761e+09,38857.2,29400.7,1,40,15
70,152,5,2.46411e+09,46679.4,35057.9,3,40,15
80,170,5,3.27781e+09,52340.9,39420.7,2,40,15
90,188,5,4.34927e+09,55494.6,40901.8,3,40,15
100,206,5,6.24126e+09,61450.3,43705.3,3,40,15
110,226,5,7.84348e+09,66546.3,48747,3,40,15
120,246,5,1.0554e+10,69141.7,50692.2,3,40,15
130,268,5,1.38795e+10,80203.5,55187.7,2,40,15
140,288,5,1.77415e+10,85187.5,60359.2,5,40,15
10,22,5,1.1752e+07,7212.48,5592.01,1,50,15
20,44,5,1.03143e+08,13469.3,9865.35,1,50,15
30,64,5,1.78642e+08,18376.3,15838.2,1,50,15
40,82,5,4.66969e+08,25886,22114.8,1,50,15
50,108,5,7.7396e+08,31705.8,25503.7,1,50,15
60,134,5,1.84479e+09,38857.2,29913.1,2,50,15
70,152,5,2.43594e+09,46679.4,35929.8,1,50,15
80,170,5,3.48158e+09,52340.9,36981.6,1,50,15
90,188,5,5.63279e+09,55494.6,40708,2,50,15
100,206,5,8.30874e+09,61450.3,44003.6,3,50,15
110,226,5,1.01548e+10,66546.3,49143,3,50,15
120,246,5,1.34332e+10,69141.7,52160.2,5,50,15
130,268,5,1.6856e+10,80203.5,55734.5,4,50,15
140,288,5,2.13818e+10,85187.5,59410.9,4,50,15
