Aristas,Distancia,Gimnasios,Mochila,Nodos,Pokeparadas,Tiempo
5,5,2,8,5,3,2980
5,5,2,8,5,3,3077
5,5,2,8,5,3,2357
5,5,2,8,5,3,2633
5,5,2,8,5,3,2944
5,5,2,8,5,3,2824
5,5,2,8,5,3,3074
5,5,2,8,5,3,2774
5,5,2,8,5,3,2652
5,5,2,8,5,3,2590
5,5,2,8,5,3,2390
5,5,2,8,5,3,3263
5,5,2,8,5,3,2860
5,5,2,8,5,3,2434
5,5,2,8,5,3,3518
5,5,2,8,5,3,1518
5,5,2,8,5,3,1415
5,5,2,8,5,3,1277
5,5,2,8,5,3,1282
5,5,2,8,5,3,1674
5,5,2,8,5,3,2513
5,5,2,8,5,3,2069
5,5,2,8,5,3,1916
5,5,2,8,5,3,1766
5,5,2,8,5,3,1931
5,5,2,8,5,3,1974
5,5,2,8,5,3,1822
5,5,2,8,5,3,2099
5,5,2,8,5,3,1775
5,5,2,8,5,3,1937
5,5,2,8,5,3,1283
5,5,2,8,5,3,1255
5,5,2,8,5,3,1259
5,5,2,8,5,3,1403
5,5,2,8,5,3,1308
5,5,2,8,5,3,1333
5,5,2,8,5,3,1233
5,5,2,8,5,3,1322
5,5,2,8,5,3,1348
5,5,2,8,5,3,1313
5,5,2,8,5,3,1270
5,5,2,8,5,3,1355
5,5,2,8,5,3,1303
5,5,2,8,5,3,1320
5,5,2,8,5,3,1296
5,5,2,8,5,3,1369
5,5,2,8,5,3,1306
5,5,2,8,5,3,1323
5,5,2,8,5,3,1276
5,5,2,8,5,3,1369
5,5,2,8,5,3,1285
5,5,2,8,5,3,1324
5,5,2,8,5,3,1294
5,5,2,8,5,3,1325
5,5,2,8,5,3,1329
5,5,2,8,5,3,1309
5,5,2,8,5,3,1406
5,5,2,8,5,3,1447
5,5,2,8,5,3,1391
5,5,2,8,5,3,1343
5,5,2,8,5,3,1344
5,5,2,8,5,3,1337
5,5,2,8,5,3,1377
5,5,2,8,5,3,1355
5,5,2,8,5,3,1321
5,5,2,8,5,3,1289
5,5,2,8,5,3,1261
5,5,2,8,5,3,1239
