gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
5,3,4,1.47452e+06,35.3184,30.9639,1,30,10
5,3,4,1.53456e+06,35.3184,30.9639,1,30,10
5,3,4,1.71982e+06,35.3184,30.9639,1,30,10
5,3,4,1.62602e+06,35.3184,30.9639,1,30,10
5,3,4,1.57907e+06,35.3184,30.9639,1,30,10
5,3,4,1.55934e+06,35.3184,30.9639,1,30,10
5,3,4,1.56743e+06,35.3184,30.9639,1,30,10
5,3,4,1.49889e+06,31.0709,26.0496,1,30,10
5,3,4,1.47658e+06,31.0709,26.0496,1,30,10
5,3,4,1.46648e+06,31.0709,26.0496,1,30,10
5,3,4,1.4307e+06,31.0709,26.0496,1,30,10
5,3,4,1.43085e+06,31.0709,26.0496,1,30,10
5,3,4,1.42693e+06,31.0709,26.0496,1,30,10
5,3,4,1.38703e+06,31.0709,26.0496,1,30,10
5,3,4,1.39519e+06,31.0709,26.0496,1,30,10
5,3,4,1.40117e+06,31.0709,26.0496,1,30,10
5,3,4,1.40041e+06,31.0709,26.0496,1,30,10
5,3,4,1.73295e+06,52.3309,37.8284,1,30,10
5,3,4,1.65638e+06,52.3309,37.8284,1,30,10
5,3,4,1.59817e+06,52.3309,37.8284,1,30,10
5,3,4,1.59365e+06,52.3309,34.2335,2,30,10
5,3,4,1.56596e+06,52.3309,34.2335,1,30,10
5,3,4,1.5585e+06,52.3309,34.2335,1,30,10
5,3,4,1.56073e+06,52.3309,34.2335,1,30,10
5,3,4,1.54999e+06,52.3309,34.2335,1,30,10
5,3,4,1.58383e+06,52.3309,34.2335,1,30,10
5,3,4,1.59372e+06,52.3309,34.2335,1,30,10
5,3,4,1.75386e+06,37.4137,26.1593,1,30,10
5,3,4,1.72685e+06,37.4137,26.1593,1,30,10
5,3,4,1.67285e+06,37.4137,26.1593,1,30,10
5,3,4,1.64868e+06,37.4137,26.1593,1,30,10
5,3,4,1.72445e+06,37.4137,26.1593,1,30,10
5,3,4,1.82445e+06,37.4137,26.1593,1,30,10
5,3,4,1.82281e+06,37.4137,26.1593,1,30,10
5,3,4,1.79058e+06,37.4137,26.1593,1,30,10
5,3,4,1.78519e+06,37.4137,26.1593,1,30,10
5,3,4,1.78444e+06,37.4137,26.1593,1,30,10
6,4,4,2.3864e+06,61.7081,41.2521,1,30,10
