opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,Distancia,cant_mejoras,tiempo_swap,vecinos_prom
1,0,4,1,3,4,46065.000000,6824.000000,29.263567,16036.000000,25.651456,1,3820.000000,6
1,0,4,1,3,4,46065.000000,5740.000000,29.263567,16074.000000,25.651456,1,3688.000000,6
1,0,4,1,3,4,46065.000000,6235.000000,29.263567,16085.000000,25.651456,1,3720.000000,6
1,0,4,1,3,4,46065.000000,5911.000000,29.263567,16233.000000,25.651456,1,3708.000000,6
1,0,4,1,3,4,46065.000000,6287.000000,29.263567,15932.000000,25.651456,1,3691.000000,6
1,1,4,1,3,4,31694.000000,9992.000000,29.263567,27393.000000,26.681182,2,7641.000000,8
1,1,4,1,3,4,31694.000000,8350.000000,29.263567,23436.000000,26.681182,2,7053.000000,8
1,1,4,1,3,4,31694.000000,7507.000000,29.263567,22380.000000,26.681182,2,6846.000000,8
1,1,4,1,3,4,31694.000000,7325.000000,29.263567,22031.000000,26.681182,2,6799.000000,8
1,1,4,1,3,4,31694.000000,7338.000000,29.263567,21962.000000,26.681182,2,6775.000000,8
1,1,4,1,3,4,31694.000000,7135.000000,29.263567,21920.000000,26.681182,2,6754.000000,8
1,1,4,1,3,4,31694.000000,7086.000000,29.263567,21895.000000,26.681182,2,6729.000000,8
1,1,4,1,3,4,31694.000000,7139.000000,29.263567,21807.000000,26.681182,2,6716.000000,8
1,1,4,1,3,4,31694.000000,7033.000000,29.263567,21975.000000,26.681182,2,6897.000000,8
1,1,4,1,3,4,31694.000000,7240.000000,29.263567,21933.000000,26.681182,2,6789.000000,8
1,0,4,1,3,4,46563.000000,14384.000000,24.555872,35031.000000,24.555872,0,4697.000000,3
1,0,4,1,3,4,46563.000000,12450.000000,24.555872,29914.000000,24.555872,0,4260.000000,3
1,0,4,1,3,4,46563.000000,11671.000000,24.555872,28242.000000,24.555872,0,3971.000000,3
1,0,4,1,3,4,46563.000000,11084.000000,24.555872,27754.000000,24.555872,0,3959.000000,3
1,0,4,1,3,4,46563.000000,11099.000000,24.555872,27731.000000,24.555872,0,3896.000000,3
1,0,4,1,3,4,46563.000000,10774.000000,24.555872,27686.000000,24.555872,0,3896.000000,3
1,0,4,1,3,4,46563.000000,11035.000000,24.555872,27779.000000,24.555872,0,3903.000000,3
1,0,4,1,3,4,46563.000000,10799.000000,24.555872,27481.000000,24.555872,0,3863.000000,3
1,0,4,1,3,4,46563.000000,10596.000000,24.555872,27794.000000,24.555872,0,3859.000000,3
1,0,4,1,3,4,46563.000000,10859.000000,24.555872,27488.000000,24.555872,0,3871.000000,3
1,1,4,1,3,4,44256.000000,13776.000000,24.555872,33059.000000,24.555872,0,4803.000000,3
1,1,4,1,3,4,44256.000000,11786.000000,24.555872,27684.000000,24.555872,0,4327.000000,3
1,1,4,1,3,4,44256.000000,10449.000000,24.555872,26136.000000,24.555872,0,4116.000000,3
1,1,4,1,3,4,44256.000000,10461.000000,24.555872,25817.000000,24.555872,0,4114.000000,3
1,1,4,1,3,4,44256.000000,10153.000000,24.555872,26035.000000,24.555872,0,4079.000000,3
1,1,4,1,3,4,44256.000000,10175.000000,24.555872,25374.000000,24.555872,0,4049.000000,3
1,1,4,1,3,4,44256.000000,10217.000000,24.555872,25870.000000,24.555872,0,4052.000000,3
1,1,4,1,3,4,44256.000000,9960.000000,24.555872,25396.000000,24.555872,0,4027.000000,3
1,1,4,1,3,4,44256.000000,10098.000000,24.555872,25680.000000,24.555872,0,4029.000000,3
1,1,4,1,3,4,44256.000000,10120.000000,24.555872,25334.000000,24.555872,0,4042.000000,3
1,0,4,1,3,4,47631.000000,14548.000000,38.301748,34306.000000,36.850044,1,5549.000000,4
1,0,4,1,3,4,47631.000000,12230.000000,38.301748,28463.000000,36.850044,1,4844.000000,4
1,0,4,1,3,4,47631.000000,10985.000000,38.301748,26702.000000,36.850044,1,4670.000000,4
1,0,4,1,3,4,47631.000000,10508.000000,38.301748,26610.000000,36.850044,1,4512.000000,4
1,0,4,1,3,4,47631.000000,10230.000000,38.301748,25983.000000,36.850044,1,4477.000000,4
1,0,4,1,3,4,47631.000000,10053.000000,38.301748,25938.000000,36.850044,1,4422.000000,4
1,0,4,1,3,4,47631.000000,10037.000000,38.301748,15812.000000,36.850044,1,2677.000000,4
1,0,4,1,3,4,47631.000000,6160.000000,38.301748,15423.000000,36.850044,1,2658.000000,4
1,0,4,1,3,4,47631.000000,5903.000000,38.301748,15302.000000,36.850044,1,2627.000000,4
1,0,4,1,3,4,47631.000000,5739.000000,38.301748,15321.000000,36.850044,1,2744.000000,4
1,1,4,1,3,4,27382.000000,8364.000000,38.301748,20825.000000,36.511937,1,3866.000000,4
1,1,4,1,3,4,27382.000000,7063.000000,38.301748,17082.000000,36.511937,1,3438.000000,4
1,1,4,1,3,4,27382.000000,6227.000000,38.301748,16315.000000,36.511937,1,3234.000000,4
1,1,4,1,3,4,27382.000000,6209.000000,38.301748,16097.000000,36.511937,1,3251.000000,4
1,1,4,1,3,4,27382.000000,6111.000000,38.301748,15840.000000,36.511937,1,3194.000000,4
1,1,4,1,3,4,27382.000000,5881.000000,38.301748,16089.000000,36.511937,1,3273.000000,4
1,1,4,1,3,4,27382.000000,6017.000000,38.301748,15977.000000,36.511937,1,3214.000000,4
1,1,4,1,3,4,27382.000000,5974.000000,38.301748,15853.000000,36.511937,1,3213.000000,4
1,1,4,1,3,4,27382.000000,5927.000000,38.301748,15839.000000,36.511937,1,3168.000000,4
1,1,4,1,3,4,27382.000000,6068.000000,38.301748,15924.000000,36.511937,1,3202.000000,4
1,0,4,1,3,4,69965.000000,8505.000000,35.487300,35637.000000,33.704697,1,6347.000000,5
1,0,4,1,3,4,69965.000000,11874.000000,35.487300,29350.000000,33.704697,1,5825.000000,5
1,0,4,1,3,4,69965.000000,11007.000000,35.487300,28068.000000,33.704697,1,5583.000000,5
1,0,4,1,3,4,69965.000000,10656.000000,35.487300,27258.000000,33.704697,1,5400.000000,5
1,0,4,1,3,4,69965.000000,10558.000000,35.487300,26995.000000,33.704697,1,5399.000000,5
1,0,4,1,3,4,69965.000000,10355.000000,35.487300,27416.000000,33.704697,1,5391.000000,5
1,0,4,1,3,4,69965.000000,10280.000000,35.487300,27140.000000,33.704697,1,5358.000000,5
1,0,4,1,3,4,69965.000000,10280.000000,35.487300,26935.000000,33.704697,1,5389.000000,5
1,0,4,1,3,4,69965.000000,10468.000000,35.487300,26829.000000,33.704697,1,5388.000000,5
1,0,4,1,3,4,69965.000000,10268.000000,35.487300,27013.000000,33.704697,1,5337.000000,5
1,1,4,1,3,4,26579.000000,8644.000000,35.487300,23638.000000,34.509428,2,6606.000000,8
1,1,4,1,3,4,26579.000000,7200.000000,35.487300,20059.000000,34.509428,2,5881.000000,8
